city,longtitude,latitude,x,y,city,longtitude,latitude,x,y,city,longtitude,latitude,x,y,city,longtitude,latitude,x,y,city,longtitude,latitude,x,y
宜昌,111.29,30.69,12388746.13,3592554.846,,,,,,,,,,,,,,,,,,,,
上海,121.47,31.23,13521978.55,3662655.183,,,,,,,,,,,,,,,,,,,,
芜湖,118.43,31.35,13183567.29,3678287.213,,,,,,,,,,,,,,,,,,,,
绵阳,104.68,31.47,11652924.3,3693939.201,,,,,,,,,,,,,,,,,,,,
无锡,120.31,31.49,13392847.94,3696549.814,,,,,,,,,,,,,,,,,,,,
合肥,117.23,31.82,13049983.91,3739705.953,,,,,,,,,,,,,,,,,,,,
襄樊,112.12,32.01,12481141.31,3764623.354,,,,,,,,,,,,,,,,,,,,
南京,118.8,32.06,13224755.51,3771189.139,,,,,,,,,,,,,,,,,,,,
信阳,114.09,32.15,12700440.7,3783016.604,,,,,,,,,,,,,,,,,,,,
扬州,119.41,32.39,13292660.4,3814613.767,,,,,,,,,,,,,,,,,,,,
十堰,110.8,32.63,12334199.58,3846295.004,,,,,,,,,,,,,,,,,,,,
蚌埠 ,117.39,32.92,13067795.02,3884690.109,,,,,,,,,,,,,,,,,,,,
南阳,112.53,32.99,12526782.3,3893976.706,,,,,,,,,,,,,,,,,,,,
汉中,107.02,33.07,11913411.9,3904598.983,,,,,,,,,,,,,,,,,,,,
徐州,117.28,34.21,13055549.88,4057034.872,,,,,,,,,,,,,,,,,,,,
西安,108.94,34.34,12127145.33,4074547.6,,,,,,,,,,,,,,,,,,,,
宝鸡,107.24,34.36,11937902.19,4077244.273,,,,,,,,,,,,,,,,,,,,
天水,105.73,34.58,11769809.76,4106950.295,,,,,,,,,,,,,,,,,,,,
连云港,119.22,34.6,13271509.69,4109654.734,,,,,,,,,,,,,,,,,,,,
洛阳,112.45,34.62,12517876.74,4112359.824,,,,,,,,,,,,,,,,,,,,
郑州,113.62,34.75,12648120.54,4129958.829,,,,,,,,,,,,,,,,,,,,
开封,114.31,34.8,12724930.99,4136735.049,,,,,,,,,,,,,,,,,,,,
运城,111.01,35.03,12357576.67,4167958.772,,,,,,,,,,,,,,,,,,,,
济宁,116.59,35.41,12978739.43,4219739.041,,,,,,,,,,,,,,,,,,,,
兰州,103.83,36.06,11558302.73,4308880.423,,,,,,,,,,,,,,,,,,,,
青岛 ,120.38,36.07,13400640.3,4310257.544,,,,,,,,,,,,,,,,,,,,
临汾,111.52,36.09,12414349.61,4313012.31,,,,,,,,,,,,,,,,,,,,
安阳,114.39,36.1,12733836.55,4314389.956,,,,,,,,,,,,,,,,,,,,
长治,113.12,36.2,12592460.8,4328176.075,,,,,,,,,,,,,,,,,,,,
格尔木,94.93,36.41,10567559.26,4357184.387,,,,,,,,,,,,,,,,,,,,
延安 ?,109.49,36.59,12188371.05,4382111.121,,,,,,,,,,,,,,,,,,,,
西宁,101.78,36.62,11330097.77,4386271.221,,,,,,,,,,,,,,,,,,,,
邯郸,114.54,36.63,12750534.48,4387658.281,,,,,,,,,,,,,,,,,,,,
济南,117.12,36.65,13037738.76,4390432.94,,,,,,,,,,,,,,,,,,,,
潍坊,119.16,36.71,13264830.52,4398761.247,,,,,,,,,,,,,,,,,,,,
和田,79.92,37.11,8896653.704,4454450.48,,,,,,,,,,,,,,,,,,,,
荣成,122.49,37.17,13635524.43,4462829.159,,,,,,,,,,,,,,,,,,,,
德令哈,97.36,37.37,10838065.62,4490806.269,,,,,,,,,,,,,,,,,,,,
烟台,121.45,37.46,13519752.16,4503420.29,,,,,,,,,,,,,,,,,,,,
太原,112.55,37.87,12529008.69,4561077.415,,,,,,,,,,,,,,,,,,,,
青铜峡,106.08,38.02,11808771.58,4582251.527,,,,,,,,,,,,,,,,,,,,
石家庄 ,114.51,38.04,12747194.89,4585078.013,,,,,,,,,,,,,,,,,,,,
榆林,109.74,38.29,12216200.92,4620474.478,,,,,,,,,,,,,,,,,,,,
银川,106.23,38.49,11825469.51,4648879.519,,,,,,,,,,,,,,,,,,,,
保定,115.46,38.87,12852948.41,4703067.258,,,,,,,,,,,,,,,,,,,,
大连,121.61,38.91,13537563.28,4708788.032,,,,,,,,,,,,,,,,,,,,
张掖,100.45,38.93,11182042.85,4711649.627,,,,,,,,,,,,,,,,,,,,
天津,117.2,39.09,13046644.32,4734571.512,,,,,,,,,,,,,,,,,,,,
喀什,75.99,39.47,8459168.105,4789220.401,,,,,,,,,,,,,,,,,,,,
唐山,118.18,39.63,13155737.42,4812319.666,,,,,,,,,,,,,,,,,,,,
北京,116.41,39.9,12958701.92,4851421.175,,,,,,,,,,,,,,,,,,,,
秦皇岛,119.6,39.94,13313811.1,4857227.07,,,,,,,,,,,,,,,,,,,,
丹东,124.36,40,13843691.88,4865942.28,,,,,,,,,,,,,,,,,,,,
大同?,113.3,40.08,12612498.31,4877574.481,,,,,,,,,,,,,,,,,,,,
敦煌 ,94.66,40.14,10537503,4886307.603,,,,,,,,,,,,,,,,,,,,
玉门,97.05,40.29,10803556.58,4908174.214,,,,,,,,,,,,,,,,,,,,
包头,109.84,40.66,12227332.87,4962320.354,,,,,,,,,,,,,,,,,,,,
营口,122.24,40.67,13607694.55,4963787.918,,,,,,,,,,,,,,,,,,,,
张家口,114.89,40.77,12789496.3,4978475.68,,,,,,,,,,,,,,,,,,,,
呼和浩特,111.75,40.84,12439953.1,4988770.268,,,,,,,,,,,,,,,,,,,,
承德,117.96,40.95,13131247.13,5004969.47,,,,,,,,,,,,,,,,,,,,
锦州 ,121.13,41.1,13484129.92,5027102.849,,,,,,,,,,,,,,,,,,,,
鞍山,122.99,41.11,13691184.17,5028580.203,,,,,,,,,,,,,,,,,,,,
阿克苏,80.26,41.17,8934502.331,5037449.055,,,,,,,,,,,,,,,,,,,,
沈阳,123.45,41.71,13742391.14,5117637.353,,,,,,,,,,,,,,,,,,,,
通化 ,125.94,41.73,14019576.67,5120620.167,,,,,,,,,,,,,,,,,,,,
哈密,93.51,42.81,10409485.58,5283096.48,,,,,,,,,,,,,,,,,,,,
图们,129.84,42.97,14453722.68,5307406.655,,,,,,,,,,,,,,,,,,,,
四平,124.35,43.17,13842578.68,5337883.482,,,,,,,,,,,,,,,,,,,,
二连浩特,111.95,43.64,12462216.99,5409899.325,,,,,,,,,,,,,,,,,,,,
乌鲁木齐 ,87.62,43.82,9753813.783,5437628.892,,,,,,,,,,,,,,,,,,,,
长春,125.32,43.82,13950558.59,5437628.892,,,,,,,,,,,,,,,,,,,,
锡林浩特,116.09,43.93,12923079.69,5454615.905,,,,,,,,,,,,,,,,,,,,
牡丹江,129.63,44.55,14430345.59,5550954.228,,,,,,,,,,,,,,,,,,,,
鸡西,130.97,45.3,14579513.71,5668874.642,,,,,,,,,,,,,,,,,,,,
白城,122.84,45.62,13674486.25,5719661.67,,,,,,,,,,,,,,,,,,,,
哈尔滨,126.53,45.8,14085255.17,5748356.802,,,,,,,,,,,,,,,,,,,,
塔城,82.98,46.75,9237291.346,5901362.752,,,,,,,,,,,,,,,,,,,,
佳木斯,130.32,46.8,14507156.04,5909489.864,,,,,,,,,,,,,,,,,,,,
齐齐哈尔,123.92,47.35,13794711.3,5999391.278,,,,,,,,,,,,,,,,,,,,
同江,132.51,47.64,14750945.73,6047171.27,,,,,,,,,,,,,,,,,,,,
阿勒泰,88.14,47.85,9811699.919,6081936.36,,,,,,,,,,,,,,,,,,,,
海拉尔,119.74,49.21,13329395.83,6310569.412,,,,,,,,,,,,,,,,,,,,
满洲里,117.38,49.6,13066681.83,6377288.918,,,,,,,,,,,,,,,,,,,,
黑河 ,127.53,50.25,14196574.66,6489684.536,,,,,,,,,,,,,,,,,,,,
